Year,Unit,MapUnit
2013,5000,2
2013,5001,4
2013,5002,5
2013,5003,7
2013,5004,7
2013,5005,10
2013,5006,12
2013,5007,13
2013,5008,14
2013,5009,16
2013,5010,18
2013,5011,
2013,5012,10
2013,5013,10
2014,5000,2
2014,5001,4
2014,5002,5
2014,5003,7
2014,5004,7
2014,5005,10
2014,5006,12
2014,5007,13
2014,5008,14
2014,5009,16
2014,5010,17
2014,5011,18
2014,5012,4
2014,5013,10
2014,5014,10
2015,5000,2
2015,5001,4
2015,5002,5
2015,5003,7
2015,5004,7
2015,5005,10
2015,5006,12
2015,5007,13
2015,5008,14
2015,5009,16
2015,5010,18
2015,5011,4
2015,5012,10
2015,5013,10
2015,5014,18
2015,5015,18
2016,5000,2
2016,5001,4
2016,5002,5
2016,5003,7
2016,5004,7
2016,5005,10
2016,5006,12
2016,5007,13
2016,5008,14
2016,5009,16
2016,5010,18
2016,5011,7
2016,5012,10
2016,5013,10
2016,5014,18
2016,5015,18
2017,5001,4
2017,5002,5
2017,5003,7
2017,5004,10
2017,5005,12
2017,5006,13
2017,5007,14
2017,5008,16
2017,5009,18
2017,5010,7
2017,5011,10
2017,5012,10
2017,5013,18
2017,5014,18
2018,5000,4
2018,5001,5
2018,5002,7
2018,5003,10
2018,5004,12
2018,5005,13
2018,5006,14
2018,5007,16
2018,5008,18
2018,5009,18
2018,5010,7
2018,5011,7
2018,5012,18
2018,5013,10
2018,5014,20
2018,5015,21
2018,5016,10
2018,5017,7
2018,5018,18
2018,5019,18
2019,5000,2
2019,5001,12
2019,5002,14
2019,5003,18
2019,5004,18
2019,5005,16
2019,5006,4
2019,5007,5
2019,5008,7
2019,5009,13
2019,5010,20
2019,5011,21
2019,5012,18
2019,5013,7
2019,5014,7
2019,5015,41
2019,5016,42
2019,5017,43
2019,5018,51
2019,5019,52
2019,5020,52
2019,5021,52
2019,5022,7
2019,5023,41
2019,5024,42
2019,5025,43
2019,5026,51
2019,5027,52
2019,5028,18
2019,5029,18
2020,5000,12
2020,5001,14
2020,5002,18
2020,5003,16
2020,5004,16
2020,5005,4
2020,5006,5
2020,5007,7
2020,5008,13
2020,5009,12
2020,5010,18
2020,5011,7
2020,5012,7
2020,5013,41
2020,5014,42
2020,5015,43
2020,5016,51
2020,5017,52
2020,5018,52
2020,5019,7
2020,5020,41
2020,5021,42
2020,5022,43
2020,5023,51
2020,5024,52
2020,5025,18
2020,5026,18
2020,5027,41
2020,5028,42
2020,5029,43
2020,5030,51
2020,5031,52
2021,5000,2
2021,5001,4
2021,5002,5
2021,5003,7
2021,5004,12
2021,5005,13
2021,5006,14
2021,5007,16
2021,5008,18
2021,5009,18
2021,5010,6
2021,5011,3
2021,5012,4
2021,5013,4
2021,5014,4
2021,5015,5
2021,5016,5
2021,5017,5
2021,5018,7
2021,5019,7
2021,5020,20
2021,5021,18
2021,5022,4
2021,5023,5
2021,5024,4
2021,5025,5
2021,5026,7
2021,5027,18
2021,5028,18
2022,5001,4
2022,5002,5
2022,5003,7
2022,5004,12
2022,5005,13
2022,5006,14
2022,5007,16
2022,5008,18
2022,5009,18
2022,5010,6
2022,5011,22
2022,5018,7
2022,5019,7
2022,5020,20
2022,5021,18
2022,5026,7
2022,5027,18
2022,5028,18
2023,5000,7
2023,5001,12
2023,5002,13
2023,5003,14
2023,5004,16
2023,5005,18
2023,5006,18
2023,5007,22
2023,5008,7
2023,5009,7
2023,5010,20
2023,5011,18
2023,5012,7
2023,5013,18
2023,5014,18
