Year,Unit,MapUnit
2013,8000,8
2013,8001,10
2013,8002,1
2013,8003,2
2013,8004,4
2013,8005,18
2013,8006,15
2013,8007,7
2013,8008,1
2013,8009,2
2013,8010,15
2013,8011,1
2013,8012,2
2013,8013,4
2013,8014,4
2013,8015,7
2013,8016,4
2013,8017,2
2013,8018,3
2014,8000,8
2014,8001,10
2014,8002,1
2014,8003,2
2014,8004,4
2014,8005,18
2014,8006,15
2014,8007,7
2014,8008,16
2014,8009,16
2014,8010,1
2014,8011,2
2014,8012,15
2014,8013,1
2014,8014,2
2014,8015,4
2014,8016,4
2014,8017,7
2014,8018,4
2014,8019,2
2014,8020,3
2015,8000,8
2015,8001,6
2015,8002,6
2015,8003,5
2015,8004,5
2015,8005,10
2015,8006,4
2015,8007,4
2015,8008,16
2015,8009,16
2015,8010,19
2015,8011,19
2015,8012,11
2015,8013,1
2015,8014,2
2015,8015,15
2015,8016,6
2015,8017,5
2015,8018,4
2015,8019,19
2015,8020,11
2015,8021,1
2015,8022,2
2015,8023,9
2015,8024,13
2015,8025,4
2015,8026,1
2015,8027,2
2015,8028,4
2015,8029,19
2015,8030,4
2015,8031,2
2015,8032,3
2016,8000,8
2016,8001,6
2016,8002,6
2016,8003,5
2016,8004,5
2016,8005,10
2016,8006,4
2016,8007,4
2016,8008,16
2016,8009,16
2016,8010,19
2016,8011,19
2016,8012,11
2016,8013,1
2016,8014,2
2016,8015,15
2016,8016,6
2016,8017,5
2016,8018,4
2016,8019,19
2016,8020,11
2016,8021,1
2016,8022,2
2016,8023,9
2016,8024,13
2016,8025,4
2016,8026,1
2016,8027,2
2016,8028,4
2016,8029,19
2016,8030,4
2016,8031,2
2016,8032,3
2017,8000,8
2017,8001,6
2017,8002,6
2017,8003,5
2017,8004,5
2017,8005,10
2017,8006,4
2017,8007,4
2017,8008,16
2017,8009,16
2017,8010,19
2017,8011,19
2017,8012,11
2017,8013,1
2017,8014,2
2017,8015,15
2017,8016,6
2017,8017,5
2017,8018,4
2017,8019,19
2017,8020,11
2017,8021,1
2017,8022,2
2017,8023,9
2017,8024,13
2017,8025,4
2017,8026,1
2017,8027,2
2017,8028,4
2017,8029,19
2017,8030,4
2017,8031,2
2017,8032,3
2018,8000,8
2018,8001,6
2018,8002,6
2018,8003,5
2018,8004,5
2018,8005,10
2018,8006,4
2018,8007,4
2018,8008,16
2018,8009,16
2018,8010,19
2018,8011,19
2018,8012,11
2018,8013,1
2018,8014,2
2018,8015,15
2018,8016,6
2018,8017,5
2018,8018,4
2018,8019,19
2018,8020,11
2018,8021,1
2018,8022,2
2018,8023,9
2018,8024,13
2018,8025,1
2018,8026,4
2018,8027,19
2018,8028,4
2018,8029,2
2019,8000,8
2019,8001,6
2019,8002,6
2019,8003,5
2019,8004,5
2019,8005,10
2019,8006,4
2019,8007,4
2019,8008,19
2019,8009,19
2019,8010,11
2019,8011,1
2019,8012,2
2019,8013,15
2019,8014,6
2019,8015,5
2019,8016,4
2019,8017,19
2019,8018,11
2019,8019,1
2019,8020,2
2019,8021,9
2019,8022,13
2019,8023,1
2019,8024,4
2019,8025,19
2019,8026,4
2019,8027,2
2020,8000,8
2020,8001,6
2020,8002,6
2020,8003,5
2020,8004,5
2020,8005,10
2020,8006,4
2020,8007,4
2020,8008,19
2020,8009,19
2020,8010,11
2020,8011,1
2020,8012,2
2020,8013,15
2020,8014,6
2020,8015,5
2020,8016,4
2020,8017,19
2020,8018,11
2020,8019,1
2020,8020,2
2020,8021,9
2020,8022,13
2020,8023,1
2020,8024,4
2020,8025,19
2020,8026,4
2020,8027,2
2021,8000,8
2021,8001,6
2021,8002,6
2021,8003,5
2021,8004,5
2021,8005,10
2021,8006,4
2021,8007,4
2021,8008,19
2021,8009,19
2021,8010,11
2021,8011,1
2021,8012,2
2021,8013,15
2021,8014,6
2021,8015,5
2021,8016,4
2021,8017,19
2021,8018,11
2021,8019,1
2021,8020,2
2021,8021,9
2021,8022,13
2021,8023,1
2021,8024,4
2021,8025,19
2021,8026,4
2021,8027,2
2022,8000,8
2022,8001,6
2022,8002,6
2022,8003,5
2022,8004,5
2022,8005,10
2022,8006,4
2022,8007,4
2022,8008,19
2022,8009,19
2022,8010,11
2022,8011,1
2022,8012,2
2022,8013,14
2022,8014,6
2022,8015,5
2022,8016,4
2022,8017,19
2022,8018,11
2022,8019,1
2022,8020,2
2022,8021,9
2022,8022,12
2022,8023,1
2022,8024,4
2022,8025,19
2022,8026,4
2022,8027,2
2023,8000,8
2023,8001,6
2023,8002,6
2023,8003,5
2023,8004,5
2023,8005,10
2023,8006,4
2023,8007,4
2023,8008,19
2023,8009,19
2023,8010,11
2023,8011,1
2023,8012,2
2023,8013,14
2023,8014,6
2023,8015,5
2023,8016,4
2023,8017,19
2023,8018,11
2023,8019,1
2023,8020,2
2023,8021,9
2023,8022,12
2023,8023,1
2023,8024,4
2023,8025,19
2023,8026,4
2023,8027,2
